ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
5.8.128.254,,LB,,,,false,0.99,2019-03-23T12:22:33Z,2015-01-08T01:29:50Z
88.208.221.246,server88-208-221-246.live-servers.net.,GB,,,,false,0.75,2019-03-23T12:22:32Z,2015-01-08T01:31:05Z
62.90.255.72,62-90-255-72.barak.net.il.,IL,Haifa,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.11,,false,0.97,2019-03-23T12:22:33Z,2015-01-08T01:32:34Z
202.55.224.7,ns7.esense-logic.com.,TW,,Served by POWERDNS 2.9.21.1 $Id: packethandler.cc 1036 2007-04-19 20:43:14Z ahu $,,true,0.99,2019-03-23T12:22:35Z,2015-01-08T01:33:10Z
46.201.247.61,61-247-201-46.ip.ukrtel.net.,UA,Krasnokutsk,,,false,0.96,2019-03-23T12:22:33Z,2015-01-08T01:36:55Z
64.127.83.170,,US,Dahlgren,,,false,0.97,2019-03-23T12:22:34Z,2015-01-08T01:37:05Z
64.135.117.210,7741-t1-cust.host.net.,US,West Palm Beach,dnsmasq-2.78,,false,0.97,2019-03-23T12:22:34Z,2015-01-08T01:37:43Z
176.111.114.161,digi1161.digicom.net.pl.,PL,Wolborz,,,false,0.49,2019-03-23T12:22:34Z,2015-01-08T01:39:48Z
221.186.139.1,,JP,Tokyo,,,false,0.99,2019-03-23T12:22:38Z,2015-01-08T01:39:56Z
220.130.134.175,ms.captaintek.com.tw.,TW,Taipei,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.99,2019-03-23T12:22:36Z,2015-01-08T01:40:41Z
94.231.178.190,,UA,Ternopil,,,false,0.96,2019-03-23T12:22:35Z,2015-01-08T01:40:57Z
94.126.193.234,mythyme.co.uk.,GB,,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.99,2019-03-23T12:22:34Z,2015-01-08T01:40:57Z
209.90.160.221,ns4.primus.ca.,CA,,Unknown,,false,0.98,2019-03-23T12:22:35Z,2015-01-08T01:43:06Z
217.219.250.202,,IR,,,,false,0.98,2019-03-23T12:22:35Z,2015-01-08T01:43:06Z
190.248.67.206,cable190-248-67-206.une.net.co.,CO,Medellín,,,false,0.35,2019-03-23T12:22:35Z,2015-01-08T01:43:58Z
50.77.4.18,lan2.avsia.com.,US,Mantachie,Microsoft DNS 6.0.6002 (17725FAC),,false,0.97,2019-03-23T12:22:35Z,2015-01-08T01:44:37Z
112.121.178.188,,HK,Cheung Sha Wan,dnsmasq-2.48,,true,0.92,2019-03-23T12:22:36Z,2015-01-08T01:46:38Z
216.177.193.39,exch.premierway.com.,US,Austin,,,false,0.99,2019-03-23T12:22:35Z,2015-01-08T01:46:40Z
64.111.84.5,acn-dps.acndigital.net.,US,,9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6,,false,0.98,2019-03-23T12:22:35Z,2015-01-08T01:47:24Z
217.12.181.97,ns2.infracom.it.,IT,Verona,,,false,0.95,2019-03-23T12:22:35Z,2015-01-08T01:47:52Z
24.230.153.195,24-230-153-195-static.midco.net.,US,Minot,dnsmasq-2.55,,false,0.98,2019-03-23T12:22:36Z,2015-01-08T01:48:13Z
118.163.169.174,118-163-169-174.HINET-IP.hinet.net.,TW,Taipei,dnsmasq-2.48,,false,0.98,2019-03-23T12:22:37Z,2015-01-08T01:50:12Z
8.24.82.4,,US,Lady Lake,dnsmasq-2.33,,false,0.93,2019-03-23T12:22:36Z,2015-01-08T01:50:15Z
218.232.108.149,,KR,,,,false,0.98,2019-03-23T12:22:41Z,2015-01-08T01:51:01Z
60.248.191.20,60-248-191-20.HINET-IP.hinet.net.,TW,Taipei,,,false,0.97,2019-03-23T12:22:37Z,2015-01-08T01:51:25Z
31.40.62.15,,RU,Orekhovo-Zuyevo,dnsmasq-2.40,,false,0.94,2019-03-23T12:22:35Z,2015-01-08T01:52:51Z
112.121.178.190,,HK,Cheung Sha Wan,dnsmasq-2.48,,true,0.92,2019-03-23T12:22:37Z,2015-01-08T01:53:21Z
59.125.204.139,59-125-204-139.HINET-IP.hinet.net.,TW,Tainan City,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.96,2019-03-23T12:22:42Z,2015-01-08T01:53:22Z
24.199.154.90,rrcs-24-199-154-90.midsouth.biz.rr.com.,US,Apex,Microsoft DNS 6.0.6002 (17724D35),,false,0.98,2019-03-23T12:22:36Z,2015-01-08T01:53:55Z
59.18.177.149,,KR,Hwaseong-si,,,false,0.95,2019-03-23T12:22:40Z,2015-01-08T01:53:58Z
220.132.245.17,220-132-245-17.HINET-IP.hinet.net.,TW,Taipei,dnsmasq-2.40,,false,0.96,2019-03-23T12:22:38Z,2015-01-08T01:54:06Z
190.56.163.189,189.163.56.190.static.intelnet.net.gt.,GT,Guatemala City,dnsmasq-2.52,,true,0.64,2019-03-23T12:22:36Z,2015-01-08T01:55:13Z
202.37.70.71,ip202-37-70-71.satlan.co.nz.,NZ,Hamilton,,,false,0.96,2019-03-23T12:22:38Z,2015-01-08T01:56:11Z
78.139.63.73,business-78-139-63-73.business.broadband.hu.,HU,Budapest,,,false,0.99,2019-03-23T12:22:36Z,2015-01-08T01:56:23Z
178.237.152.146,ns2.maxen.es.,ES,Premia de Mar,,,false,0.97,2019-03-23T12:22:40Z,2015-01-08T01:57:21Z
122.155.210.7,,TH,,,,false,0.97,2019-03-23T12:22:38Z,2015-01-08T02:00:38Z
200.195.181.162,mx.colorado.pr.gov.br.,BR,Marialva,,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:00:40Z
85.235.219.250,85.235.219.250.ptspb.ru.,RU,St Petersburg,,,false,0.99,2019-03-23T12:22:37Z,2015-01-08T02:01:16Z
85.237.36.229,host-85-237-36-229.dsl.sura.ru.,RU,Penza,,,false,0.99,2019-03-23T12:22:37Z,2015-01-08T02:01:18Z
107.6.45.8,,US,Santa Ana,dnsmasq-2.48,,true,0.61,2019-03-23T12:22:38Z,2015-01-08T02:01:56Z
109.228.4.232,server109-228-4-232.live-servers.net.,GB,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.98,2019-03-23T12:22:37Z,2015-01-08T02:02:39Z
202.55.224.29,29-224-55-202-static.chief.net.tw.,TW,,Served by POWERDNS 2.9.21.1 $Id: packethandler.cc 1036 2007-04-19 20:43:14Z ahu $,,false,0.98,2019-03-23T12:22:40Z,2015-01-08T02:03:11Z
31.15.62.35,,SE,Amal,,,false,0.98,2019-03-23T12:22:38Z,2015-01-08T02:03:55Z
2.229.19.215,2-229-19-215.ip194.fastwebnet.it.,IT,Genoa,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.98,2019-03-23T12:22:37Z,2015-01-08T02:05:36Z
195.238.110.69,,UA,Khmelnytskyi,,,false,0.98,2019-03-23T12:22:37Z,2015-01-08T02:05:39Z
94.126.193.236,secure.abinternet.co.uk.,GB,,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.99,2019-03-23T12:22:37Z,2015-01-08T02:07:11Z
177.207.208.123,177.207.208.123.static.gvt.net.br.,BR,Curitiba,dnsmasq-2.40,,false,0.77,2019-03-23T12:22:40Z,2015-01-08T02:07:43Z
